model,n_images,dice,iou,time,precision,recall,f1_score,accuracy
U2Net,500,0.48887145023597134,0.38032316566788954,43.77878499031067,0.7438871393144936,0.45226238960844234,0.4888714502356052,0.7712597182718705
U2NetP,500,0.4812600893425851,0.376080157529953,33.132803440093994,0.7867612702121028,0.424517374688754,0.4812600893422393,0.7832674404924536
SAMNet,500,0.5795384492365039,0.4590915780482034,56.51481294631958,0.689217525291639,0.6016612081354735,0.5795384492360812,0.7968271557602883
AIM,500,0.4504063420050354,0.32935796564030456,23198.548587322235,0.3562058829868647,0.9149126374173716,0.4504063420047059,0.5048337549379824
